# charmodel v2 lang=ru order=4 alpha=0.4 total_unigrams=1229915
$	100000
^	300000
а	71383
б	12984
в	35076
г	13428
д	22268
е	66149
ж	6898
з	13626
и	63506
й	11887
к	31267
л	37246
м	26626
н	56344
о	80753
п	25735
р	48200
с	45294
т	47330
у	22073
ф	3667
х	8575
ц	5004
ч	9572
ш	6073
щ	3316
ъ	392
ы	16299
ь	13591
э	1817
ю	6832
я	15988
ё	716
^^	200000
^а	3038
^б	4016
^в	6691
^г	3176
^д	4428
^е	513
^ж	853
^з	3857
^и	2982
^й	56
^к	6571
^л	2427
^м	4542
^н	5045
^о	6447
^п	15821
^р	5061
^с	10076
^т	3580
^у	3401
^ф	1545
^х	1131
^ц	555
^ч	1140
^ш	1030
^щ	83
^ы	6
^э	1191
^ю	250
^я	478
^ё	10
а$	9800
аа	24
аб	1400
ав	3783
аг	1147
ад	2359
ае	1789
аж	898
аз	2711
аи	369
ай	1074
ак	2129
ал	7496
ам	3509
ан	7783
ао	62
ап	1174
ар	4536
ас	3910
ат	6348
ау	308
аф	424
ах	1431
ац	981
ач	882
аш	552
ащ	409
аэ	47
аю	1526
ая	2485
аё	37
б$	158
ба	1496
бб	51
бв	57
бг	6
бд	26
бе	1885
бж	36
бз	19
би	1371
бк	124
бл	1143
бм	65
бн	516
бо	2173
бп	3
бр	1598
бс	255
бт	13
бу	770
бф	1
бх	42
бц	15
бч	4
бш	24
бщ	177
бъ	214
бы	487
бь	61
бэ	26
бю	72
бя	87
бё	9
в$	3507
ва	7449
вб	15
вв	81
вг	40
вд	130
ве	4432
вж	3
вз	294
ви	2956
вк	612
вл	1519
вм	97
вн	1398
во	5376
вп	95
вр	631
вс	1095
вт	400
ву	657
вф	5
вх	51
вц	74
вч	68
вш	616
вщ	40
въ	10
вы	2826
вь	123
вэ	12
вю	5
вя	409
вё	50
г$	356
га	1868
гб	14
гв	62
гг	19
гд	42
ге	796
гз	2
ги	1236
гк	75
гл	763
гм	41
гн	361
го	5313
гп	7
гр	1757
гс	67
гт	31
гу	557
гф	2
гх	1
гц	5
гч	23
гш	7
гы	5
гэ	8
гю	8
гё	2
д$	584
да	3208
дб	51
дв	580
дг	61
дд	124
де	3923
дж	453
дз	75
ди	2933
дк	372
дл	337
дм	123
дн	1427
до	3502
дп	226
др	829
дс	660
дт	75
ду	1133
дф	7
дх	40
дц	116
дч	92
дш	158
дъ	54
ды	525
дь	129
дэ	30
дю	53
дя	327
дё	61
е$	9775
еа	268
еб	671
ев	2635
ег	1137
ед	3400
ее	571
еж	831
ез	1293
еи	154
ей	2256
ек	1979
ел	5212
ем	3042
ен	10216
ео	541
еп	985
ер	7362
ес	4974
ет	5163
еу	131
еф	215
ех	430
ец	430
еч	1069
еш	806
ещ	317
еэ	10
ею	87
ея	185
её	4
ж$	127
жа	1230
жб	22
жв	5
жг	19
жд	722
же	1808
жж	16
жи	1355
жк	171
жл	15
жм	10
жн	762
жо	134
жп	2
жр	23
жс	83
жт	1
жу	284
жц	10
жч	10
жь	49
жэ	1
жю	5
жё	34
з$	243
за	4271
зб	320
зв	920
зг	219
зд	811
зе	584
зж	83
зз	21
зи	955
зк	196
зл	310
зм	501
зн	1217
зо	1132
зп	8
зр	492
зс	40
зт	21
зу	412
зц	19
зч	28
зш	7
зъ	39
зы	544
зь	68
зэ	5
зю	16
зя	139
зё	5
и$	9813
иа	774
иб	479
ив	3024
иг	874
ид	1136
ие	3095
иж	341
из	2214
ии	1459
ий	2208
ик	3377
ил	4023
им	2871
ин	5208
ио	1176
ип	464
ир	2498
ис	4062
ит	5139
иу	82
иф	307
их	1379
иц	939
ич	2369
иш	427
ищ	271
иэ	23
ию	836
ия	2630
иё	8
й$	8835
йа	12
йб	42
йв	26
йг	17
йд	240
йе	38
йз	32
йи	6
йк	247
йл	118
йм	116
йн	501
йо	96
йп	16
йр	34
йс	872
йт	303
йф	25
йх	7
йц	98
йч	37
йш	152
йщ	8
йю	1
йя	8
к$	1763
ка	6161
кб	13
кв	281
кг	16
кд	12
ке	1143
кж	1
кз	48
ки	4692
кк	116
кл	1187
км	33
кн	268
ко	8760
кп	25
кр	2147
кс	740
кт	1253
ку	2279
кф	8
кх	7
кц	236
кч	4
кш	19
кы	7
кь	8
кэ	32
кю	7
кё	1
л$	2294
ла	5343
лб	49
лв	20
лг	148
лд	93
ле	5423
лж	141
лз	21
ли	6652
лк	491
лл	650
лм	51
лн	407
ло	4744
лп	31
лр	3
лс	726
лт	176
лу	1136
лф	18
лх	26
лц	1
лч	71
лш	24
лщ	7
лъ	1
лы	531
ль	5215
лэ	20
лю	977
ля	1652
лё	104
м$	7379
ма	3450
мб	206
мв	55
мг	29
мд	8
ме	3555
мж	5
мз	11
ми	4371
мк	160
мл	185
мм	283
мн	683
мо	2706
мп	488
мр	57
мс	373
мт	12
му	1327
мф	64
мх	12
мц	35
мч	42
мщ	6
мы	765
мь	54
мэ	54
мю	23
мя	193
